crop_name,ph,moisture,n,p,k,temperature,rainfall,humidity,latitude,longitude,season,year,yield_achieved,soil_type
Watermelon,6.19,81.53,40.14,21.81,58.26,26.76,50.81,71.17,31.006523,77.722812,zaid,2022,25948.46,peat
Coconut,5.62,90.73,21.7,20.22,33.18,27.41,187.61,57.43,21.625035,86.218593,zaid,2023,9769.69,loamy
Chilli,6.8,80.22,129.77,43.3,120.55,26.3,483.48,54.33,18.100029,75.494137,rabi,2021,14564.14,loamy
Chilli,6.55,73.45,134.2,32.85,126.04,20.71,563.66,60.07,30.059137,77.079563,kharif,2022,13982.5,chalky
Groundnut,6.23,98.89,29.75,28.43,50.02,21.46,575.77,69.15,14.641863,76.262504,rabi,2021,2129.65,silt
Lentil,6.27,39.21,25.49,81.66,29.93,18.59,47.15,74.97,19.975461,72.351812,rabi,2022,1000.34,sandy
Grapes,6.11,57.96,24.92,186.72,230.14,22.82,91.88,72.84,23.423865,81.189361,kharif,2023,18104.33,chalky
Mothbeans,5.77,23.33,10.34,27.54,13.18,26.22,21.46,47.29,22.980621,75.288526,kharif,2020,563.6,sandy
Orange,6.9,60.25,20.91,10.25,14.29,24.38,107.45,57.88,10.718382,76.183849,kharif,2022,23262.96,chalky
Potato,5.15,79.51,107.2,65.6,170.52,15.82,614.9,59.19,11.409595,77.455239,rabi,2020,23930.44,sandy
Lentil,5.4,28.25,13.68,51.77,17.15,32.47,21.09,55.66,20.675643,89.560322,zaid,2022,511.31,clay
Jute,5.59,51.81,57.4,35.54,25.1,24.13,107.45,36.38,22.09882,87.367485,kharif,2023,1937.28,peat
Mothbeans,8.2,78.51,25.22,58.67,28.06,24.03,36.42,55.92,21.728751,80.379135,kharif,2020,769.27,loamy
Coconut,4.46,68.27,15.38,16.69,17.21,20.78,94.6,56.98,23.322535,85.611824,kharif,2022,7807.41,clay
Wheat,6.61,48.4,149.85,40.8,52.66,17.64,566.62,71.97,13.002584,78.660147,rabi,2020,3334.14,clay
Orange,6.21,82.62,27.32,11.61,11.33,23.98,118.12,69.24,31.179321,75.375914,kharif,2022,18953.03,clay
Coffee,7.76,44.57,52.96,24.78,22.76,27.46,109.04,32.59,29.563766,75.469331,kharif,2023,468.09,sandy
Chickpea,6.95,61.65,48.97,89.42,94.01,17.53,61.44,73.26,24.564229,85.749314,rabi,2021,1607.32,silt
Chilli,7.02,35.9,71.68,20.51,69.96,28.69,300.39,60.61,23.889542,85.861932,kharif,2023,12080.07,clay
Wheat,6.92,68.87,137.32,38.72,53.86,20.33,512.96,60.1,12.743016,78.195688,rabi,2023,3361.82,sandy
Muskmelon,4.68,42.75,86.13,11.34,34.53,33.14,17.17,38.63,28.121933,74.124607,kharif,2022,11491.79,peat
Watermelon,6.82,69.48,43.9,21.43,50.65,26.32,44.8,71.87,29.58117,79.898974,zaid,2021,24336.09,peat
Muskmelon,5.22,40.5,58.6,10.93,42.6,33.63,14.94,64.9,28.4462,75.066227,zaid,2022,13958.87,silt
Apple,5.46,46.04,14.03,106.82,143.99,26.22,68.09,59.32,25.430803,76.404506,zaid,2022,12695.33,peat
Jute,6.53,96.08,107.39,48.97,57.26,23.94,222.97,52.27,11.903341,78.404388,kharif,2023,2721.9,clay
Chilli,5.73,38.42,72.7,19.52,88.6,22.99,357.94,51.46,13.506818,76.057492,kharif,2020,7759.94,peat
Coffee,6.45,84.64,119.61,38.39,37.92,27.71,206.58,74.93,11.667582,77.951299,kharif,2021,937.31,silt
Coffee,6.22,94.25,121.6,38.35,38.73,24.54,197.52,66.98,18.600742,72.165966,zaid,2022,783.7,chalky
Apple,4.9,46.13,10.67,80.12,143.5,18.88,75.82,36.79,20.906209,74.295451,kharif,2022,8273.76,loamy
Orange,8.65,42.08,15.92,8.32,8.37,32.3,74.77,68.06,21.551182,85.513617,zaid,2021,13073.73,silt
Grapes,6.96,35.21,15.37,77.29,135.07,19.55,40.8,39.59,13.766486,78.783454,rabi,2020,13412.29,clay
Chickpea,6.6,81.15,45.57,86.89,105.45,20.67,87.36,72.17,11.9099,79.827259,rabi,2022,1498.49,peat
Orange,7.9,37.6,11.81,8.83,6.83,29.74,68.53,40.69,28.257572,75.615119,rabi,2023,14248.62,peat
Mango,6.77,41.8,13.2,17.15,20.96,39.22,77.94,36.78,25.827777,86.861831,rabi,2021,6300.51,peat
Sugarcane,6.1,90.56,278.38,45.72,121.64,24.99,1233.95,61.22,24.709171,80.134407,kharif,2022,65440.01,loamy
Tomato,5.89,52.43,76.79,33.8,71.19,25.59,343.62,35.29,21.265544,75.903115,kharif,2023,18875.93,chalky
Chilli,6.74,97.99,116.0,37.59,108.13,28.52,572.76,62.2,20.051714,85.099865,kharif,2021,16139.71,loamy
Chilli,6.36,65.32,131.56,40.72,121.49,29.62,592.9,58.68,25.837065,75.034079,rabi,2023,15357.05,peat
Watermelon,6.19,90.62,58.26,24.66,58.14,24.05,48.64,60.66,11.968317,77.090672,zaid,2021,22525.34,peat
Wheat,6.47,46.92,127.23,40.97,54.81,19.22,698.84,72.35,23.067296,73.276402,rabi,2020,4020.36,chalky
Coconut,7.7,71.4,14.79,15.09,23.56,29.53,100.67,64.96,25.879828,77.542236,rabi,2022,5591.73,loamy
Chilli,7.49,38.45,61.12,17.21,69.9,29.62,249.19,56.56,30.891075,79.671842,year_round,2022,12314.65,peat
Papaya,4.48,54.2,27.36,36.89,41.9,39.05,126.68,53.04,31.919234,74.869952,zaid,2020,25663.23,silt
Lentil,6.72,77.94,24.12,60.57,20.34,28.05,47.38,62.18,14.692944,77.267781,rabi,2022,986.66,loamy
Grapes,4.56,46.74,16.15,99.72,168.38,32.4,43.63,45.95,23.905301,76.244588,rabi,2021,10358.68,sandy
Onion,6.34,65.81,134.19,30.38,107.6,13.67,521.96,57.22,28.322323,74.88298,kharif,2020,19787.86,peat
Onion,6.17,86.38,118.99,39.26,118.79,24.07,552.44,67.75,24.000114,79.363657,kharif,2020,21614.82,sandy
Tomato,6.4,75.49,126.91,57.67,144.89,24.6,488.41,69.45,31.762016,77.892592,rabi,2020,35591.09,sandy
Mothbeans,9.0,28.39,10.69,27.37,15.95,29.68,20.2,58.66,23.106665,73.709618,kharif,2023,669.35,loamy
Banana,4.12,59.51,81.63,46.42,33.23,22.4,59.69,41.32,20.449601,73.238722,rabi,2023,21139.69,sandy
Chickpea,6.02,68.0,48.06,87.22,109.61,19.12,70.43,65.62,20.008133,87.485447,rabi,2021,1688.76,sandy
Soybean,4.75,35.46,11.19,20.47,34.85,18.91,508.81,63.23,13.858915,77.67163,rabi,2020,1904.86,chalky
Watermelon,4.78,44.54,29.39,16.09,28.64,30.22,29.98,39.84,22.08407,87.416189,zaid,2022,19082.36,silt
Orange,5.54,37.48,10.52,7.94,7.16,23.88,65.49,47.55,10.743497,78.895315,rabi,2022,11307.38,loamy
Pigeon Pea,6.75,83.14,22.72,21.69,39.31,28.54,821.51,54.25,23.557908,89.679971,kharif,2022,1324.12,peat
Kidneybeans,5.97,62.68,29.99,67.06,27.27,15.08,60.28,63.82,24.121565,86.470017,rabi,2020,1281.56,sandy
Rice,7.03,43.2,61.4,11.39,34.35,28.11,723.12,69.3,23.816823,75.462029,zaid,2020,2357.93,chalky
Groundnut,7.34,32.33,10.88,11.76,27.43,34.99,410.92,47.05,13.869975,76.20829,kharif,2023,1008.98,clay
